
                    V                          LATITUDE     LONGITUDE   OBSTACLE             AGL  AMSL  LT ACC MAR  FAA
ACTION    OAS#      S CT ST CITY             DEG MIN SEC  DEG MIN SEC   TYPE                  HT    HT     H V IND STUDY          JDATE
----------------------------------------------------------------------------------------------------------------------------------------
DISMANTLE 01-000059 O US AL BIRMINGHAM       33 32 14.00N 086 50 16.00W TOWER              1 00284 00827 U 9 I M                D2025263 
OLD       21-020395 O US KY ELIZABETHTOWN    37 41 03.69N 085 51 36.83W TOWER              1 00195 00985 N 4 D N 2019ASO08407OE C2019143 
NEW       21-020395 O US KY ELIZABETHTOWN    37 41 03.69N 085 51 36.83W TOWER              1 00195 00985 N 4 D N 2024ASO18910OE C2025262 
OLD       21-020412 O US KY LEBANON          37 53 56.00N 085 41 45.32W TOWER              1 00259 00761 D 1 A N 2010ASO05432OE A2012069 
NEW       21-020412 O US KY LEBANON JUNCTION 37 53 56.00N 085 41 45.32W TOWER              1 00259 00760 D 1 A N 2025ASO00936OE C2025263 
OLD       21-020498 O US KY WILLISBURG       37 47 04.78N 085 10 14.19W TOWER              1 00255 01059 D 1 A N 2012ASO05690OE A2012325 
NEW       21-020498 O US KY WILLISBURG       37 47 04.78N 085 10 14.19W TOWER              1 00255 01059 D 1 A N 2024ASO19468OE C2025263 
OLD       21-020507 O US KY EAST BERNSTADT   37 11 08.70N 084 06 54.80W TOWER              1 00190 01441 N 2 C N 2012ASO08113OE A2013064 
NEW       21-020507 O US KY EAST BERNSTADT   37 11 08.70N 084 06 54.80W TOWER              1 00190 01441 N 2 C N 2024ASO10899OE C2025263 
OLD       21-020522 O US KY CRANKS           36 46 03.78N 083 11 52.96W TOWER              1 00190 02145 R 1 A P 2012ASO07136OE A2013184 
NEW       21-020522 O US KY CRANKS           36 46 03.78N 083 11 52.96W TOWER              1 00190 02145 D 1 A N 2024ASO23505OE C2025267 
OLD       21-020528 O US KY HUNTINGTON       38 20 49.96N 082 36 09.50W TOWER              1 00195 01055 U 1 B U                A2013205 
NEW       21-020528 O US KY CATLETTSBURG     38 20 49.95N 082 36 09.51W TOWER              1 00189 01054 N 2 C N 2025ASO05273OE C2025263 
OLD       21-020536 O US KY CATLETTSBURG     38 26 03.46N 082 37 48.12W TOWER              1 00199 00953 N 1 A N 2011ASO04998OE A2013224 
NEW       21-020536 O US KY CATLETTSBURG     38 26 03.46N 082 37 48.12W TOWER              1 00199 00953 N 1 A N 2023ASO09467OE C2025263 
OLD       21-020988 O US KY COVINGTON        39 02 42.63N 084 39 25.16W TOWER              1 00064 00925 R 1 A U                A2013232 
NEW       21-020988 O US KY COVINGTON        39 02 42.63N 084 39 25.16W TOWER              1 00058 00925 R 1 A P                C2025263 
OLD       21-022161 O US KY ROYALTON         37 41 26.77N 083 02 27.92W TOWER              1 00310 01561 D 1 A N 2013ASO00658OE A2013255 
NEW       21-022161 O US KY ROYALTON         37 41 26.77N 083 02 27.92W TOWER              1 00310 01561 D 1 A N 2024ASO12151OE C2025263 
OLD       21-022250 O US KY CLARKSVILLE      36 38 42.13N 087 25 07.86W T-L TWR            1 00121 00682 U 1 A U                A2013260 
NEW       21-022250 O US KY CLARKSVILLE      36 38 41.77N 087 25 07.93W T-L TWR            1 00119 00682 N 1 A N 2024ASO12418OE C2025263 
OLD       21-022272 O US KY OLMSTEAD         36 44 53.85N 087 01 08.65W TOWER              1 00255 00847 D 2 C N 2013ASO01002OE A2013309 
NEW       21-022272 O US KY OLMSTEAD         36 44 53.85N 087 01 08.65W TOWER              1 00255 00846 D 2 C N 2024ASO21390OE C2025263 
OLD       21-022274 O US KY ELIZABETHTOWN    37 44 47.99N 085 53 19.34W TOWER              1 00295 01199 D 2 C N 2013ASO01003OE A2013323 
NEW       21-022274 O US KY ELIZABETHTOWN    37 44 47.99N 085 53 19.34W TOWER              1 00295 01199 D 2 C N 2024ASO18895OE C2025263 
OLD       21-022360 O US KY CAMPTON          37 44 52.57N 083 27 31.83W TOWER              1 00299 01296 D 1 A N 2014ASO00255OE A2015005 
NEW       21-022360 O US KY CAMPTON          37 44 52.57N 083 27 31.83W TOWER              1 00294 01291 D 1 A N 2025ASO06319OE C2025263 
OLD       21-022428 O US KY LONDON           37 02 21.80N 084 00 31.38W TOWER              1 00265 01599 D 5 E N 2015ASO19900OE C2016074 
NEW       21-022428 O US KY LONDON           37 02 21.80N 084 00 31.38W TOWER              1 00257 01591 D 4 D N 2025ASO06320OE C2025262 
OLD       21-022447 O US KY CRANKS           36 46 15.03N 083 09 40.17W TOWER              1 00310 02271 M 1 A N 2019ASO30946OE C2020157 
NEW       21-022447 O US KY CRANKS           36 46 15.03N 083 09 40.17W TOWER              1 00310 02271 M 1 A P 2024ASO18011OE C2025263 
OLD       21-022504 O US KY WOLF COAL        37 24 04.83N 083 23 26.19W TOWER              1 00310 01593 D 2 C N 2015ASO18378OE A2016264 
NEW       21-022504 O US KY WOLF COAL        37 24 04.83N 083 23 26.19W TOWER              1 00310 01593 D 2 C N 2024ASO17285OE C2025263 
OLD       21-022507 O US KY PINE RIDGE       37 46 24.18N 083 38 08.92W TOWER              1 00265 01545 D 1 A N 2015ASO16409OE A2016266 
NEW       21-022507 O US KY PINE RIDGE       37 46 24.18N 083 38 08.92W TOWER              1 00263 01543 D 1 A N 2024ASO23246OE C2025263 
OLD       21-022513 O US KY LENARUE          36 48 32.78N 083 16 06.64W TOWER              1 00310 01660 M 2 C N 2024ASO17281OE C2025052 
NEW       21-022513 O US KY LENARUE          36 48 32.78N 083 16 06.64W TOWER              1 00310 01662 M 2 C N 2024ASO21330OE C2025263 
OLD       21-022646 O US KY STAMPING GROUND  38 16 23.38N 084 41 58.99W TOWER              1 00294 01102 D 1 A N 2017ASO05987OE C2017139 
NEW       21-022646 O US KY STAMPING GROUND  38 16 23.38N 084 41 58.99W TOWER              1 00294 01102 D 1 A N 2024ASO20719OE C2025263 
OLD       21-055296 U US KY LONDON           37 06 38.55N 084 04 12.52W TOWER              1 00194 01362 N 1 A N 2015ASO12871OE A2018024 
NEW       21-055296 O US KY LONDON           37 06 38.55N 084 04 12.52W TOWER              1 00194 01362 N 1 A N 2024ASO20408OE C2025263 
OLD       21-055416 U US KY MARION           37 22 50.09N 088 01 48.93W TOWER              1 00199 00723 N 4 D N 2012ASO08655OE A2018024 
NEW       21-055416 O US KY MARION           37 22 50.10N 088 01 48.94W TOWER              1 00200 00724 N 1 A N 2025ASO08471OE C2025263 
OLD       21-055438 U US KY NICHOLASVILLE    37 53 24.03N 084 36 45.12W TOWER              1 00115 01047 N 1 A N 2012ASO11398OE A2018024 
NEW       21-055438 O US KY NICHOLASVILLE    37 53 24.03N 084 36 45.12W TOWER              1 00115 01047 N 1 A N 2024ASO20381OE C2025263 
OLD       21-055583 U US KY HARLAN           36 53 43.14N 083 16 33.26W TOWER              1 00190 01758 N 4 D N 2024ASO17280OE C2025044 
NEW       21-055583 O US KY HARLAN           36 53 43.15N 083 16 33.27W TOWER              1 00190 01758 N 1 A N 2024ASO21436OE C2025263 
OLD       21-055592 U US KY COXS CREEK       37 53 53.24N 085 28 37.07W ANTENNA            1 00176 00877 N 4 D N 2014ASO00336OE A2018023 
NEW       21-055592 U US KY COXS CREEK       37 53 53.24N 085 28 37.07W ANTENNA            1 00167 00868 N 4 D N 2025ASO03842OE C2025263 
OLD       21-055642 U US KY RICHMOND         37 43 52.06N 084 17 52.57W POLE               1 00199 01187 N 1 A N 2014ASO02939OE A2018026 
NEW       21-055642 O US KY RICHMOND         37 43 52.06N 084 17 52.57W TOWER              1 00197 01185 N 1 A N 2023ASO26576OE C2025258 
OLD       21-056028 U US KY RICHMOND         37 44 29.57N 084 17 41.84W POLE               1 00199 01165 N 1 A N 2014ASO09084OE A2018026 
NEW       21-056028 O US KY RICHMOND         37 44 29.57N 084 17 41.84W TOWER              1 00196 01162 N 1 A N 2023ASO26577OE C2025259 
OLD       21-056039 U US KY LEXINGTON        38 08 55.47N 084 26 56.32W TOWER              1 00199 01116 N 4 D N 2014ASO13209OE A2018024 
NEW       21-056039 U US KY LEXINGTON        38 08 55.47N 084 26 56.32W TOWER              1 00199 01116 N 4 D N 2024ASO22647OE C2025263 
OLD       21-056043 U US KY LOUISVILLE       38 15 05.21N 085 46 30.02W TOWER              1 00155 00612 N 4 D N 2014ASO13887OE A2018024 
NEW       21-056043 U US KY LOUISVILLE       38 15 05.21N 085 46 30.02W TOWER              1 00155 00612 N 4 D N 2024ASO10854OE C2025263 
OLD       21-056354 U US KY LOUISVILLE       38 15 15.30N 085 40 01.40W TOWER              1 00146 00696 N 4 D N 2017ASO17811OE C2017266 
NEW       21-056354 O US KY LOUISVILLE       38 15 15.30N 085 40 01.40W TOWER              1 00146 00695 N 1 A N 2024ASO06055OE C2025263 
OLD       21-056407 U US KY BOWLING GREEN    36 59 12.47N 086 27 32.72W ANTENNA            1 00160 00670 N 2 C N 2015ASO18527OE A2018023 
NEW       21-056407 O US KY BOWLING GREEN    36 59 12.47N 086 27 32.72W TOWER              1 00160 00670 N 2 C N 2024ASO18994OE C2025262 
OLD       21-056411 U US KY GEORGETOWN       38 12 38.22N 084 30 18.00W TOWER              1 00199 01081 N 4 D N 2015ASO19124OE A2018024 
NEW       21-056411 U US KY GEORGETOWN       38 12 38.22N 084 30 18.00W TOWER              1 00199 01081 N 4 D N 2024ASO08253OE C2025263 
OLD       21-061279 U US KY ELIZABETHTOWN    37 42 15.69N 085 52 09.79W TOWER              1 00185 00902 D 2 C N 2016ASO28697OE A2018024 
NEW       21-061279 O US KY ELIZABETHTOWN    37 42 15.69N 085 52 09.79W TOWER              1 00185 00902 D 2 C N 2024ASO20345OE C2025263 
OLD       21-061284 O US KY SOMERSET         37 02 20.56N 084 38 42.26W TOWER              1 00105 01216 D 1 A N 2016ASO06895OE A2017313 
NEW       21-061284 O US KY SOMERSET         37 02 20.56N 084 38 42.26W TOWER              1 00104 01215 D 1 A N 2025ASO03450OE C2025268 
OLD       21-061286 U US KY BOWLING GREEN    36 58 07.29N 086 28 28.28W TOWER              1 00170 00702 N 1 A N 2017ASO09112OE A2018024 
NEW       21-061286 O US KY BOWLING GREEN    36 58 07.29N 086 28 28.28W TOWER              1 00170 00702 N 1 A N 2025ASO00282OE C2025263 
OLD       21-061817 O US KY CAMPBELLSVILLE   37 22 33.50N 085 12 18.74W TOWER              1 00290 01085 D 2 C N 2016ASO28767OE A2018212 
NEW       21-061817 O US KY CAMPBELLSVILLE   37 22 33.50N 085 12 18.74W TOWER              1 00290 01085 D 2 C N 2024ASO20941OE C2025263 
OLD       21-063197 O US KY STEPHENSPORT     38 01 12.89N 086 29 39.94W TOWER              1 00250 01079 D 2 C N 2017ASO00466OE A2018360 
NEW       21-063197 O US KY STEPHENSPORT     38 01 12.89N 086 29 39.94W TOWER              1 00250 01079 D 2 C N 2024ASO18894OE C2025263 
OLD       21-063243 O US KY SWANPOND         36 48 29.46N 083 56 46.76W TOWER              1 00310 01809 M 2 C N 2018ASO03521OE A2019025 
NEW       21-063243 O US KY SWANPOND         36 48 29.46N 083 56 46.76W TOWER              1 00310 01809 M 2 C N 2025ASO08466OE C2025263 
OLD       21-064916 O US KY RAYWICK          37 33 17.47N 085 25 09.90W TOWER              1 00250 00880 D 2 C N 2018ASO08450OE A2019098 
NEW       21-064916 O US KY RAYWICK          37 33 17.47N 085 25 09.90W TOWER              1 00250 00880 D 2 C N 2024ASO17776OE C2025262 
OLD       21-064998 O US KY YADEN            36 42 57.75N 084 05 04.86W TOWER              1 00310 01721 M 2 C N 2018ASO11750OE A2019158 
NEW       21-064998 O US KY YADEN            36 42 57.75N 084 05 04.86W TOWER              1 00310 01721 M 2 C N 2024ASO23638OE C2025263 
OLD       21-065029 O US KY OWENTON          38 30 03.67N 084 46 30.59W TOWER              1 00259 01192 D 1 A N 2017ASO19807OE A2019199 
NEW       21-065029 O US KY OWENTON          38 30 03.67N 084 46 30.59W TOWER              1 00259 01192 D 1 A N 2024ASO18977OE C2025262 
OLD       21-066254 O US KY CAMPBELLSVILLE   37 20 19.78N 085 22 11.89W TOWER              1 00250 01078 D 2 C N 2019ASO08820OE A2020029 
NEW       21-066254 O US KY CAMPBELLSVILLE   37 20 19.78N 085 22 11.89W TOWER              1 00250 01078 D 2 C N 2024ASO18073OE C2025263 
OLD       21-066299 O US KY MURRAY           36 42 56.53N 088 10 20.10W TOWER              1 00300 00810 D 4 D N 2019ASO19313OE A2020072 
NEW       21-066299 O US KY MURRAY           36 42 56.53N 088 10 20.10W TOWER              1 00300 00810 D 4 D N 2025ASO07976OE C2025263 
OLD       21-068332 O US KY LORETTO          37 38 03.81N 085 24 20.40W TOWER              1 00199 00922 N 1 A N 2020ASO25977OE C2021141 
NEW       21-068332 O US KY LORETTO          37 38 03.81N 085 24 20.40W TOWER              1 00199 00922 N 1 A N 2024ASO20991OE C2025263 
ADD       21-081860 U US KY ELIZABETHTOWN    37 40 24.00N 085 56 21.00W BLDG               1 00060 00820 N 4 D N 2021ASO22399OE A2025263 
ADD       21-081865 U US KY LOUISVILLE       38 07 08.79N 085 42 20.56W BLDG               1 00050 00518 N 4 D N 2021ASO09353OE A2025263 
OLD       21-084827 U US KY FLATWOODS        38 31 02.28N 082 42 26.63W UTILITY POLE       1 00045 00724 N 4 D N 2022ASO09851OE A2024194 
NEW       21-084827 U US KY FLATWOODS        38 31 02.28N 082 42 26.63W UTILITY POLE       1 00045 00724 N 4 D N 2022ASO09851OE C2025263 
OLD       21-091221 O US KY SOMERSET         37 07 05.73N 084 37 53.79W TOWER              1 00285 01338 D 1 A N 2021ASO35726OE A2024019 
NEW       21-091221 O US KY SOMERSET         37 07 05.73N 084 37 53.79W TOWER              1 00288 01341 D 1 A N 2024ASO18685OE C2025263 
OLD       21-091226 U US KY FORT KNOX        37 53 51.74N 085 57 17.48W POLE               1 00123 00856 N 4 D N 2023ASO27671OE A2025090 
NEW       21-091226 U US KY FORT KNOX        37 53 51.74N 085 57 17.48W POLE               1 00123 00856 N 4 D N 2024ASO22458OE C2025263 
OLD       21-091227 O US KY FT. CAMPBELL     36 38 52.18N 087 27 20.25W TOWER              1 00135 00688 D 4 D N 2024ASO09588OE C2024211 
NEW       21-091227 O US KY FT. CAMPBELL     36 38 51.28N 087 27 20.70W TOWER              1 00135 00688 D 4 D N 2024ASO24829OE C2025263 
ADD       21-091235 U US KY LEXINGTON        38 01 31.60N 084 33 42.90W POLE               1 00030 01025 N 4 D N 2020ASO39440OE A2025247 
ADD       21-091237 U US KY FLORENCE         39 01 20.38N 084 38 07.94W BLDG               1 00042 00953 N 4 D N 2021ASO10736OE A2025262 
ADD       21-091780 O US KY FALLSBURG        38 10 46.63N 082 40 07.38W TOWER              1 00200 00973 N 1 A N 2021ASO24428OE A2025262 
OLD       21-091782 O US KY PAINT LICK       37 35 17.63N 084 29 39.61W TOWER              1 00270 01279 D 4 D N 2023ASO24546OE A2024058 
NEW       21-091782 O US KY PAINT LICK       37 35 17.63N 084 29 39.61W TOWER              1 00262 01271 D 4 D N 2025ASO11209OE C2025263 
ADD       21-092235 O US KY LOUISVILLE       38 12 32.66N 085 40 44.97W POLE               1 00035 00532 N 1 A N 2022ASO04977OE A2025263 
ADD       21-092236 O US KY LOUISVILLE       38 13 01.31N 085 40 51.48W POLE               1 00035 00563 N 1 A N 2022ASO04901OE A2025263 
ADD       21-092237 O US KY LOUISVILLE       38 12 42.60N 085 40 25.17W UTILITY POLE       1 00039 00538 N 1 A N 2022ASO04920OE A2025262 
ADD       21-092238 O US KY LOUISVILLE       38 11 21.37N 085 45 56.73W POLE               1 00043 00522 N 1 A N 2021ASO28678OE A2025263 
ADD       21-092239 O US KY LOUISVILLE       38 12 42.59N 085 40 43.59W POLE               1 00039 00543 N 1 A N 2022ASO04966OE A2025262 
ADD       21-093013 O US KY FLORENCE         38 59 18.20N 084 38 18.20W BLDG               1 00086 00969 N 4 D N 2023ASO01395OE A2025263 
ADD       21-093014 U US KY LOUISVILLE       38 13 00.91N 085 45 25.81W BLDG               1 00072 00533 N 4 D N 2021ASO01365OE A2025263 
ADD       21-093015 U US KY BOWLING GREEN    36 55 10.20N 086 26 09.40W BLDG               1 00031 00572 N 4 D N 2021ASO01671OE A2025263 
ADD       21-093018 U US KY LOUISVILLE       38 07 59.99N 085 43 09.62W BLDG               1 00023 00484 N 4 D N 2021ASO08349OE A2025263 
ADD       21-093020 U US KY LOUISVILLE       38 08 03.00N 085 43 06.00W BLDG               1 00022 00483 N 4 D N 2021ASO11966OE A2025263 
ADD       21-093029 U US KY FLORENCE         39 01 16.88N 084 38 07.41W BLDG               1 00050 00950 N 4 D N 2021ASO21525OE A2025263 
ADD       21-093033 U US KY HAZARD           37 22 40.62N 083 14 55.84W BLDG               1 00019 01279 N 4 D N 2021ASO50795OE A2025263 
ADD       21-093044 U US KY LOUISVILLE       38 11 46.39N 085 44 04.52W UTILITY POLE       1 00041 00530 N 4 D N 2024ASO10357OE A2025263 
ADD       21-093045 O US KY MT VERNON        37 19 32.58N 084 15 28.77W TOWER              1 00305 01506 D 1 A N 2023ASO23317OE A2025262 
ADD       21-093046 O US KY WHITE PLAINS     37 14 48.84N 087 26 48.48W TOWER              1 00295 00710 D 1 A N 2024ASO01168OE A2025263 
ADD       21-093051 U US KY LONDON           37 07 53.74N 084 03 33.08W TOWER              1 00154 01460 N 1 A N 2024ASO11812OE A2025263 
ADD       21-093055 O US KY NICHOLASVILLE    37 54 21.27N 084 37 43.88W TOWER              1 00151 01102 N 1 A N 2024ASO12916OE A2025263 
ADD       21-093057 O US KY EDMONTON         37 01 52.38N 085 31 03.08W TOWER              1 00305 01076 D 1 A N 2022ASO36487OE A2025262 
ADD       21-093063 O US KY SEDALIA          36 37 56.30N 088 33 22.18W TOWER              1 00310 00841 D 1 A N 2023ASO30268OE A2025263 
ADD       21-093064 O US KY MADISONVILLE     37 20 22.15N 087 27 13.66W TOWER              1 00199 00615 N 1 A N 2024ASO13800OE A2025263 
ADD       21-093090 O US KY BENTON           36 56 48.25N 088 21 33.06W TOWER              1 00255 00718 D 1 A N 2023ASO32633OE A2025263 
ADD       21-093091 O US KY FARMINGTON       36 40 04.65N 088 31 54.91W TOWER              1 00265 00787 D 1 A N 2023ASO30240OE A2025263 
ADD       21-093171 O US KY GREENSBURG       37 09 23.01N 085 32 25.54W TOWER              1 00310 01096 D 1 A N 2023ASO21245OE A2025263 
ADD       21-093172 O US KY ST. CHARLES      37 11 24.30N 087 30 54.30W TOWER              1 00295 00834 D 4 D N 2024ASO16429OE A2025263 
ADD       21-093178 O US KY SUMMER SHADE     36 51 21.64N 085 38 35.20W TOWER              1 00259 01215 D 1 A N 2023ASO25098OE A2025263 
ADD       21-093180 O US KY INDEPENDENCE     38 58 09.50N 084 30 13.30W TOWER              1 00155 01042 N 1 A N 2023ASO33219OE A2025263 
ADD       21-093183 U US KY MOLUS            36 49 03.50N 083 29 47.22W TOWER              1 00190 01614 N 4 D N 2024ASO21437OE C2025267 
ADD       21-093720 O US KY ELIZABETHTOWN    37 43 02.30N 085 54 03.05W TOWER              1 00152 00938 N 2 C N 2024ASO17754OE A2025263 
ADD       21-093723 U US KY CAMPBELLSVILLE   37 19 34.23N 085 19 52.86W TOWER              1 00169 01067 N 4 D N 2024ASO17791OE A2025263 
ADD       21-093732 U US KY LEBANON          37 35 28.72N 085 14 56.63W TOWER              1 00199 01060 N 4 D N 2024ASO18005OE A2025263 
ADD       21-093735 O US KY KIRKSEY          36 40 52.45N 088 23 53.22W TOWER              1 00270 00835 D 1 A N 2024ASO02360OE A2025263 
ADD       21-093736 U US KY GLEN DAM         37 36 16.71N 086 30 43.37W TOWER              1 00110 00671 N 4 D N 2024ASO08599OE A2025263 
ADD       21-094106 O US KY BURLINGTON       39 00 13.53N 084 48 02.10W TOWER              1 00215 01046 D 1 A N 2023ASO15298OE A2025263 
ADD       21-094107 O US KY COVINGTON        39 03 57.88N 084 35 29.88W TOWER              1 00141 01002 N 1 A N 2024ASO18804OE A2025263 
ADD       21-094108 U US KY CYNTHIANA        38 17 10.11N 084 23 51.65W TOWER              1 00198 01083 N 4 D N 2024ASO18891OE A2025263 
